id;lat;lng;name
167353;49.794804376582;24.044484162368;вул. Гната Хоткевича
167533;49.83920669555664;23.996238708496094;Залізничний вокзал
168771;49.873939514160156;24.013517379760742;Поліклініка УМВС
168772;49.87378692626953;24.01353645324707;Поліклініка УМВС
169212;49.8784294128418;24.083833694458008;вул. Івана Франка
169213;49.878310975676;24.083712756634;вул. Івана Франка
169430;49.853640441921;24.041631758213;вул. Промислова
169431;49.853388518849;24.041202187538;вул. Промислова
169632;49.826547877404;23.989772598632;вул. Антоновича
169651;49.825831877763;24.009664514002;вул. Княгині Ольги
170689;49.79443359375;24.062902450561523;вул. Івана Кавалерідзе
170690;49.79457473754883;24.063644409179688;вул. Івана Кавалерідзе (16)
170691;49.793983459472656;24.061721801757812;Кінотеатр ім. Довженка
171999;49.83920669555664;23.994436264038086;Залізничний вокзал
172128;49.791265847565;24.067460656166;вул. Кос-Анатольського
172129;49.790650833884;24.067842841148;вул. Кос-Анатольського
172132;49.840518951416016;24.020627975463867;вул. Листопадового Чину
172133;49.774206005894;24.011692047119;ТРЦ "King Cross Leopolis"
174027;49.8555793762207;24.04511833190918;вул. Новознесенська
174028;49.855262756347656;24.045394897460938;вул. Новознесенська
174030;49.842018127441406;24.1009521484375;вул. Глинянський Тракт
174031;49.8419075012207;24.101015090942383;вул. Глинянський Тракт
174403;49.851295265036;24.05900144577;Церква Вознесіння
176954;49.83738723816;24.035067915916;вул. Володимира Шухевича
176955;49.87221908569336;24.04161834716797;на вимогу
184236;49.922161852336;23.982458889484;с. Брюховичі (вул. Під Основою)
184237;49.91408920288086;23.965587615966797;на вимогу
184239;49.89468765258789;23.946306228637695;смт Брюховичі (вул. Смолиста)
184241;49.9027214050293;23.941307067871094;с. Брюховичі (вул. Незалежності України)
185531;49.865726494529;24.044356167316;вул. Миколайчука
185557;49.872982025146484;24.050710678100586;вул. Грінченка (39)
186287;49.784509834356;24.059509575367;пр. Червоної Калини (19)
186288;49.784744262695;24.059945106506;пр. Червоної Калини (4А)
189487;49.83856201171875;23.994821548461914;Залізничний вокзал (29)
189488;49.83864974975586;23.99505615234375;Залізничний вокзал (32)
189489;49.83872604370117;23.995269775390625;Залізничний вокзал (31)
189490;49.83879470825195;23.995454788208008;Залізничний вокзал (16)
192251;49.82381820678711;23.98027992248535;Автостанція №3
193302;49.83567810058594;24.007015228271484;вул. Митрополита Андрея
193303;49.772111035948;23.962986886501;с. Сокільники
193304;49.75411126703;23.943196833134;на вимогу
193305;49.754119873046875;23.943498611450195;на вимогу
193306;49.757773694026;23.949164688587;с. Малечковичі
193307;49.75775146484375;23.94937515258789;с. Малечковичі
193308;49.76084899902344;23.925647735595703;с. Годовиця
193309;49.760614712445;23.925763845444;с. Годовиця
193310;49.780918978638;23.909849107265;с. Басівка
193756;49.77582550048828;23.91575813293457;Перехрестя
193757;49.77574157714844;23.915691375732422;Перехрестя
193758;49.77040229296;23.918291389942;ж/м Гірка
193759;49.7702751159668;23.918298721313477;ж/м Гірка
193760;49.76466751098633;23.92062759399414;Школа
193761;49.764542022973;23.920538842678;Школа
194460;49.876298010291;24.038918077946;Дитяча лiкарня
194462;49.892012766334;24.10424041748;АЗС
194463;49.89174270629883;24.105098724365234;АЗС
194464;49.90134811401367;24.14879035949707;с. Гамаліївка
194465;49.901859283447266;24.149255752563477;с. Гамаліївка
194466;49.94171142578125;24.17446517944336;с. Вислобоки
194467;49.94145965576172;24.174331665039062;с. Вислобоки
194469;49.953047523396;24.204225301743;с. Ременів
194470;49.952909021922;24.204458713531;с. Ременів
194471;49.98833465576172;24.241235733032227;с. Жовтанці
194472;49.98849973474;24.241984248161;с. Жовтанці
194473;49.991458892822266;24.244245529174805;Будинок №18
194474;49.99372482299805;24.23453140258789;Будинок №58
195584;49.991607666015625;24.244230270385742;Будинок №18
195838;49.996747939325;24.216371715069;с. Жовтанці (Кінцева)
195839;49.993995666503906;24.235292434692383;Будинок №58
196147;49.92103576660156;24.161386489868164;с. Малі Підліски
196148;49.92081069946289;24.160966873168945;с. Малі Підліски
196848;49.933467864990234;24.05107307434082;с. Гряда
196849;49.933082580566406;24.051387786865234;с. Гряда
196850;49.94652557373047;24.05452537536621;с. Великий Дорошів
196851;49.9470100402832;24.054901123046875;с. Великий Дорошів
196852;49.98026657104492;24.076526641845703;с. Куликів
196853;49.98014450073242;24.076915740966797;с. Куликів
196854;50.007713317871094;24.045923233032227;с. Перемивки
196855;50.00922775268555;24.04450225830078;с. Перемивки
196856;50.01807403564453;24.03428840637207;с. Смереків
196857;50.01893615722656;24.03290367126465;с. Смереків
196858;50.04298400878906;24.005464553833008;с. Сопошин
196859;50.04233169555664;24.00594711303711;с. Сопошин
196860;50.057342529296875;23.973957061767578;м. Жовква (Автостанція)
196861;50.05743408203125;23.974374771118164;м. Жовква (Автостанція)
196862;50.060861825758;23.914896965027;с. Глинськ
196863;50.060866594471;23.914355576038;с. Глинськ
196864;50.050708061232;23.819824099541;с. Крехів
197181;49.66642379760742;24.003028869628906;с. Деревач
197182;49.666629791259766;24.003543853759766;с. Деревач
197183;49.63799772938;23.99746209383;с. Хоросно
197184;49.637305872807;23.996742427349;с. Хоросно
197185;49.617357762752;23.995578169823;с. Красів
197186;49.61646270751953;23.99493980407715;с. Красів
197187;49.600361013582;24.000607550144;с. Бродки
197188;49.60081452989;24.000983417034;с. Бродки
197189;49.58094024658203;23.995832443237305;с. Луб'яне
197190;49.580848693847656;23.995296478271484;с. Луб'яне
197191;49.55620574951172;23.98758316040039;с. Заклад
197192;49.55659484863281;23.988319396972656;с. Заклад
197193;49.523388286571;23.966202259064;с. Миколаїв (АС)
197194;49.452353947823;23.954718351364;с. Пісочна
198026;49.811077447744;23.857283592224;с. Конопниця
198027;49.811198322964;23.856970369816;с. Конопниця
198028;49.80929946899414;23.845916748046875;Дачі
198029;49.80930709838867;23.84466552734375;Дачі
198030;49.804176330566406;23.81191062927246;с. Бартатів
198031;49.803905487061;23.81130027771;с. Бартатів
198032;49.8003044128418;23.78840446472168;поворот на Мшану
198033;49.80078887939453;23.78936004638672;поворот на Мшану
198034;49.783741466565;23.643369853497;Автостанція "Городок"
198035;49.78374481201172;23.642770767211914;Автостанція "Городок"
198036;49.7545280456543;23.653940200805664;с. Черляни
198037;49.792720794677734;23.74003791809082;с. Довжанка
198038;49.79311752319336;23.74049949645996;с. Довжанка
199370;49.86407267622;24.051631093025;Автостанція №2
199371;49.875485566498;24.062276363373;ринок "Галицьке перехрестя"
199381;49.78702926635742;24.016738891601562;Автовокзал
199796;50.00423049926758;24.268728256225586;с. Колоденці
199797;50.00410842895508;24.26795196533203;с. Колоденці
199798;50.011234283447266;24.281051635742188;с. Германка
199799;50.01145553588867;24.281845092773438;с. Германка
199800;50.028743743896484;24.313966751098633;с. Честині
199801;50.028076171875;24.313430786132812;с. Честині
199802;50.048728942871094;24.331401824951172;с. Новий Став
199803;50.047969818115234;24.331928253173828;с. Новий Став
199804;50.074120407898;24.332935333252;с. Дернів
199805;50.07362747192383;24.333343505859375;с. Дернів
199806;50.082554055433;24.33336520195;с. Сапіжанка
